Publish time,Page name,Permalink,Post type,Impressions,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,REELS_PLAYS:COUNT,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad impressions,Ad CPM (USD)
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0j6n3C1tHy5aQ6ddUTX57FC3ZSD1kWdmDoi8LDhzMsPsmYtJY3FYmSRLdTobHsRq1l,Photos,13,12,3,1,2,0,0,,,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0HqwaCPz7udn3utAghvWEtHHniwydJcekFrfF1WM5oz6vn17bXVroF6QBgX3Aa64Dl,Photos,12,9,4,3,1,0,0,,,,,,,,
8/31/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02YGAQJEjNqcq9kJQaAWorVkfsQhgiEwe6LJ8cPS4cvHRfXWzCVKNRRemDHxbWbRUjl,Photos,12,10,5,3,1,1,2,,2,,,,,,
8/17/2024,Style Spectrums,https://www.facebook.com/reel/1215607533088853/,Reels,12,4,0,0,0,0,0,,,59,268.363,7.062,0,0,
9/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0PzJ2HhgjBBZ3fGXH4iFeRMbP3nrCC8wpqMJ4t7cGRteja6ryHTxZGsHfiRCPcHV4l,Photos,11,11,3,1,1,1,0,,,,,,,,
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0aMiQq2ehYeAmCfx9PWiG9CkKtFm68r4cc4Jmhg31vw2K1TEKyagKMpxqBXVa9iEal,Photos,11,11,2,0,2,0,0,,,,,,,,
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02XPVKExtrEkZ8ECQ62qtWVYMy9pfUmFjtNcyDDwWzmjaQftHACoSbdbeEaAAQdYj6l,Photos,11,11,5,3,2,0,2,,2,,,,,,
8/31/2024,Style Spectrums,https://www.facebook.com/reel/497175156347530/,Reels,10,8,8,5,0,3,0,,,49,171.489,4.899,0,0,
8/28/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02mCYbYmWqffPQSwmFUEL9M174LMEjxRiDmwsTQ6Ss6ozqGQVf3v85qgis979u2Lgwl,Photos,10,9,2,1,1,0,0,,,,,,,,
8/28/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid09PhSDrcvJ9mFULhVNwLihgbvk9a4vPWxjdWpuK24RSPk8RaCCFsFfprvzp2LMme8l,Photos,10,9,2,1,1,0,2,,2,,,,,,
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0BSxLow9iEbfqFDPYycwdTY1VDZX87WbB9A7DgPFaTpEe1kew3u7pMUuPu2zVcHAvl,Photos,10,10,3,1,2,0,0,,,,,,,,
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid05mFS85c7VMG1qvLibWwrTnXNHSAZAn63mUT8hhDZhD3v9sQtYpKnjpBjX5ycZ7Gol,Photos,10,10,0,0,0,0,1,,1,,,,,,
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0MS6ZFv9fDhoCxdkKsn4GidV9F9X1q4ZVvicCCiyACTWL3rMU2eAc7zc1oY4Wwp8dl,Photos,10,10,1,1,0,0,0,,,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02iaxinEJZFbdXqpYUqZYaM4rmN4kdXqzrwSZPWa2Ey5ZpLMmJ4QmAUhPZKtG8qgZJl,Photos,10,8,2,2,0,0,1,,1,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02rdQ4B4R6A8gUgkUxMBawvMe7WpEKhTRKTGNSGukqdbjdLHD7cWu1jyukRpGrvghWl,Photos,10,10,2,2,0,0,1,1,,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02b14cqtEMn4W6YxgQqNELx6Y8EiR6x3A64nA22vv3j8Q6W9v1Y5gUHdsdqe3o5G51l,Photos,9,9,1,0,1,0,0,,,,,,,,
8/28/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0NNhefFWyQUShb9nUty2qjYx5i1RDbBGJFKje7Gccemf5SxUiM5zvSa54baTTRfk9l,Photos,9,8,1,0,1,0,1,1,,,,,,,
8/28/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02qKVmgyEd6mkan87oKdXbKS8tRM7nNifPRDGb5sp26Xmd6sUcrHuPeGziSNnKHU2Fl,Photos,9,8,1,0,1,0,0,,,,,,,,
8/14/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0mwTzTe2RwvTF2gXuz4yvY7wz4NGfcnqU1RxqFot7BDMED8FUgQT8sksLheG668hnl,Photos,9,9,2,1,1,0,3,1,2,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid06VBnZ94fpfSasoX65WiAqhKrTxXWCA2wJ1hGs9c7BqfNAgjRTktrhvTDRLqxBVofl,Photos,9,8,2,2,0,0,0,,,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid032mvxg13TJNKhi4DCE5bgGhabEsCgSfuHvkipVYgTjRnCRGHLTQ5oaz6tB5nV9yGpl,Photos,9,7,3,3,0,0,0,,,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0v9QMHdX9wgxVkD6FzLWvNTThsbjScxfziU6NsbKfCq8XmwuqArAqNcW35rXtH9q6l,Photos,9,8,1,1,0,0,0,,,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid031bnRoY65zrrUHYU3SvVCvkErNBUF9scquJRxKYDrRoUj5ps6rP3fYvdqYYZjBRdTl,Photos,9,8,2,2,0,0,2,,2,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid037JFgAov7F5o2QrWUhkdaPQ6ov3cnGsmu2id5fKaTmNAzQp433JjzUn8Zf23bSdGBl,Photos,9,8,2,2,0,0,0,,,,,,,,
9/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0crRD3Zg5drJ73wNWc2KxpX6BadbWZrnGfqJnC57GTmVN7MBjsJ5xCqUHsnQQ2vvpl,Photos,8,8,1,0,1,0,0,,,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid036BGqQDrCs4NAiSU7u1mMb2kiTJHnpLZiyx6e4QJpW7JzKSVo82k9CxYeoSNV8hkQl,Photos,8,7,1,0,1,0,0,,,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0HZLn1bGNnyECv9zh7aLhmrUy3ZVWKiQTYnmaT3aHqBs7MzzB6qmNZeggPToWRpfTl,Photos,8,8,4,2,2,0,0,,,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid025T7u7DRMwwy9HqzJUTPPM8oDLH6TmtWoA1W6zPMZJGzCWuh2JFUY1vCwURriJcBKl,Photos,8,7,1,0,1,0,0,,,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid029c391Y1HmeEaj3YVEQJ3G3fz7BRm6jBNtbLWQiWSzz4F6kqbXE8Atp83GvPzCiNEl,Photos,8,7,3,2,1,0,0,,,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0GoDmMiMRjbqDVBB5AUQ26NYkdKWHUt6SPGmHV2nUYwzhX9U4y2HgHjA8cFio28Pel,Photos,8,7,2,1,1,0,0,,,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0yJ17LVSLBFR95udL2hzCgyq6hSwWSVpLNfXWxdgQUJx488Ab9rsaatFAL3t1sMUql,Photos,8,8,7,5,1,1,2,,2,,,,,,
8/31/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid029espxodRubpe11f46hJSER4uyXKVi5fNgJT1fn9L53psz97gpoif3K9YN2gHgQgXl,Photos,8,8,0,0,0,0,0,,,,,,,,
8/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0z4fpLcmFiqMm5X33Wh6qx1L9pQhCJmgo2DKSjn4FDe2mYP9yQN5Bas7DpRwF8YURl,Photos,8,8,2,1,1,0,0,,,,,,,,
8/23/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02pjkWQM2GEgPyWFh4JNLnQgAsHMynnFnVTWskyKoxnn2G61iPArMcdUBR1oXLcvG6l,Photos,8,8,2,2,0,0,0,,,,,,,,
8/14/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02MoAzfouzxs8jk4a9uDjxXPDFjKuKpTLvwEBhnCUXFGLw1HTXLexejnp48vwYLipgl,Photos,8,8,0,0,0,0,0,,,,,,,,
9/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0KstX4WjpPQ6PsLtRpnto6sUJQaCankQNwqqzjCYwRj5v1WjVSZ4TYhRcDPTRY7yfl,Photos,7,7,2,1,1,0,2,,2,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0BsRCZLDEC2CRyecZWubH15VEzsLnA5Psx1oCAfzLxVf946pFWH88B13wcNzq62kBl,Photos,7,7,2,1,1,0,1,,1,,,,,,
8/31/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid054J7a5adMDwJq1Ji6hFY2SwrwSd95vY8BTPE6vu1Ct6ghLPv1vGn7BTWtuayKi2Xl,Reels,7,6,1,1,0,0,0,,,,,,,,
8/28/2024,Style Spectrums,https://www.facebook.com/reel/1878430572661276/,Reels,7,7,3,1,0,2,0,,,32,76.019,2.815,0,0,
8/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0UiQrZdi9E24ed1TrDMJniHyuLRwT77auuGtX5f51vuU6obbeJAgympf3AeQoGZnSl,Photos,7,7,2,1,1,0,2,,2,,,,,,
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0qKcAYPtZTndNSzTsQUexP5EXo79nKnq3qVB4x3EYMG7zxAToRM8zMeMYBtz4mmZHl,Photos,7,7,0,0,0,0,0,,,,,,,,
8/23/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02u5vAjYLygKQz9UqssvvSkH923RPQ34TVSqD81u2QvDasdKWNVwEE2aZBGHdiTCz6l,Photos,7,7,0,0,0,0,0,,,,,,,,
8/23/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0253CiGq8idnWkYwuPJ9yj4rrTMBCiHYSkHuEEtePtFMUyaLGugjLk7fpV2c4MWmPBl,Photos,7,7,0,0,0,0,0,,,,,,,,
8/18/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02mFvxR3urSroyTDuD3Cpv1weuxmmsfJTfKcMtpqbfwuEp2vEmgxp9ww7wKtxW3cNgl,Photos,7,7,4,2,2,0,0,,,,,,,,
8/8/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0Q1AhMKivc4ra7haAPgkXd3V1zS59pguHFS2NgqW6p4QLtErMLicy7q3Qpw3T3gVEl,Text,7,7,0,0,0,0,0,,,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0W8KUEQ81fSiBCui1ceubp3VY7JwzCxdUn5F1hMsNq9qeWAoLm3QZLsq35mU7B5ipl,Photos,7,6,3,3,0,0,1,,1,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0ufLVLnCBCEHrB1PrPE9c2ACnWmmtcRTYM4HeooVdfc7Sm7576nDZKr8FDHXketPUl,Photos,7,6,2,2,0,0,0,,,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0dsAzzbiq6hJkNEyj6CX2Bm2C7fkj1ESBc431ThG5SY7Q6A5XWzLetGqWMRqmzV28l,Photos,7,7,1,1,0,0,0,,,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0f45r7FKX4a3sWYFaK7TcRfRQ9Z9apy7QWj3JwxhNnMpHqhAUDtR4iMkPfG6zDh6Nl,Photos,6,5,1,1,0,0,0,,,,,,,,
9/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0rtgsoRLbirygQ4eavzAnz2AkXthZTNLmX8FEQxJaNdN5ut17eCuTUmx1aK2M9Kmtl,Photos,6,4,2,1,1,0,0,,,,,,,,
9/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02wjuM44t6qhexYmA6AXuLRy7QziB5Mj1rzarrShu6vF4PTRfVEN3UnnRjskN6r8d5l,Photos,6,6,1,0,1,0,2,,2,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0o9oBYvSBygdhb6TJevDQqyaLgXjwu6zhhErVzzLvPXMgViYqXD1nteqbq1BGM31Nl,Photos,6,5,2,0,2,0,0,,,,,,,,
8/28/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0SWrW1gYH3n18UAWVK7u4GFFpJtYnjAqQCzAEypxGAeVnEtPDbLScnL99uWTzajbxl,Reels,6,6,0,0,0,0,0,,,,,,,,
8/28/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid01D537puHm2qyyR3xhrrdwjUsDVdQQY9ags9jq5T23sTsPMRxFjQBL7oTP8pNDffMl,Photos,6,6,1,0,1,0,0,,,,,,,,
8/28/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02t2sMkFSxinszirKyb3Paz6E6q9Vh93F95rtEgWLHqaDSB4sQmWUJufH9dezhBG9Zl,Photos,6,6,2,0,2,0,0,,,,,,,,
8/26/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02HURhkV3TRagbTnz5hGD3BgbF9DRMbKSkprMLRapm1hKWQDhLC6pQpk9D31exzYTrl,Photos,6,6,0,0,0,0,0,,,,,,,,
8/26/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0yd7bKxWte9NmJDs7XDzEovxGqXc1Eixe7cN3TyVr8UzS5oNSyxjwMLTQT9w62rmfl,Photos,6,6,0,0,0,0,0,,,,,,,,
8/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0SFtk19nFhc4LvEWaTLpAXWuPennQKGUEiUkzd9VMSnzhPYTeVvsEaLVxrTyYcBKcl,Photos,6,6,2,1,1,0,0,,,,,,,,
8/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0aRs5wVh2zAGky53wgQVi6AtQSQapD7Bw9qfYLzKNUB8FHvKgpvu5ZybVH9HsvGZXl,Photos,6,6,2,1,1,0,2,,2,,,,,,
8/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0Ham9RTiYhf4WJXmf8TkZEwFnCMJNcNsrRu4D726QLfLnjYZ5hQLzK1fsv5N25Medl,Photos,6,6,3,2,1,0,0,,,,,,,,
8/18/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02sJw1KBzQPUWAJfF3ggk6a9GbGvhcb3knxxP8hdCi2oUG4dESQrMiRk2cDVwP3Dcbl,Photos,6,6,2,1,1,0,0,,,,,,,,
8/18/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02AjLyvjLWw7BzFpJdqhkZzpTTAfVupGjhC88u9pqozbwYroHVSBXPdQ1jgbcTDS8Cl,Photos,6,6,2,1,1,0,2,,2,,,,,,
8/18/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02JFRPTyzbv1WrQBR6GcNUsfbDDvtqK6Hh1NyhbfWgGbHj5Ts3UvF2ydK921itutJQl,Photos,6,6,2,1,1,0,2,,2,,,,,,
8/17/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid022SbtpazcFeUYML8aYvEZe39XxUpoLRTHLRFM3o56ZNDWDR2ctWSJXTKJ5ujyCbpGl,Photos,6,6,1,1,0,0,0,,,,,,,,
8/14/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0nfqdZ3DtKPiBjdj1KJ1TAiF21M6RShMRd6yERYmR2qwEiUw2Mqef82KczdcuCAKtl,Photos,6,6,2,2,0,0,2,,2,,,,,,
8/14/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02mCyw5aXwP9PnF4qrgUCF4eC4nhw9G9wJWUaeYa4XvyKkpU6Z3ES2QKQ53pA1cZfMl,Photos,6,6,1,1,0,0,0,,,,,,,,
8/13/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0vmmdm7r76FLSBwHPqCfabcbeQFhiczk9qNx4EJVurEcsP4HU7sbHDhxCCa4QUe3Nl,Photos,6,5,1,1,0,0,1,1,,,,,,,
9/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02cDWCBqg6RAhvbEJaaR9pAwBpBP6WEA2KwFPAKQRY4iEyXi3VSy53PcQpBoy2C2Grl,Photos,5,4,2,1,1,0,0,,,,,,,,
9/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0wh4k1FoDyS8UYSc1aQqSKjSx2W5tJbsQPTWK9reLjFsh1BzbAHQeqbTnBRLxspjVl,Photos,5,5,1,0,1,0,0,,,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0YW9DLAbbGFf5T8v1uSkmZGd3maKp2ffytsFLjuM67rXFKTrF1x3RRy497PqpjbM9l,Photos,5,5,3,2,1,0,0,,,,,,,,
8/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0yvokn2RUsyrG7bWBjn6dEjdapUkjB3ogHDBhbMg6CZzj76w4WmNkueDJPErRLUUEl,Photos,5,5,2,0,2,0,0,,,,,,,,
8/18/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid027C2iFiSDbjhcUVg8TJxuyh6emPHvh5B4JyniwanPZc1s8WbUt6Z6VvXvQN6gpBrUl,Photos,5,5,2,1,1,0,0,,,,,,,,
8/18/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0HrNujD1DcuonX4cqnkPykJC16qN1NY7yDZZTZLCZR3sACpKdpyZfawrv7ADYeLXSl,Photos,5,5,2,1,1,0,0,,,,,,,,
8/17/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0xysfE5nquegkgP4CibY5m54xZCQA2jT8MWd28w5nmuFcSNb1RqhEet4ocTdCuBoVl,Photos,5,5,1,1,0,0,0,,,,,,,,
8/14/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02eCW4r1mg9cRP8fGDrWKSJphUCTSeFga5wjSbbYLp8u39e9HeiJnUGGJjQfME27SJl,Photos,5,5,1,1,0,0,1,,1,,,,,,
8/14/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid03762GjM2T7DBSTGiC8oVYXDpMt8X8qZ74NmHWgZxNztXrR3FZ8pZgkNbkGgway6hil,Photos,5,5,1,1,0,0,0,,,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid028eT3ANr1EEYLEnRWfn4h6XqAP7XfiARM4PUDdvG5CrCJgaHB45xi2W6K7yRQNmGjl,Photos,5,5,1,1,0,0,0,,,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0e6VkG6AEXAe33T4xAZmkDkEVeH9iWrSG6JLjuUSaWQm6ymFnwGB9rj5vSr5U6YYUl,Photos,5,5,1,1,0,0,0,,,,,,,,
8/31/2024,Style Spectrums,https://www.facebook.com/reel/1299904457645312/,Reels,4,4,4,3,0,1,0,,,28,206.633,12.914,0,0,
8/31/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02cZi21LJQATp57FkoS8JbwCKz7dxCqfi67WoSdqh3L5ayjCCwEM4QqA2opRRWUNmsl,Photos,4,4,0,0,0,0,0,,,,,,,,
8/27/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0JZ1FZqQUp6RA8op5XQcEB1xDVKJ5jCsRyAANGfNN5bxjQ4783HXpqXgG8iqgNNDol,Photos,4,4,2,0,2,0,0,,,,,,,,
8/27/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0Dd6MPFWWLnGN6c33NZV2BuEhUeQNjjUUkLngvmgH4kcC3LmzQHUdBNGMeMSBd5WLl,Photos,4,4,1,0,1,0,0,,,,,,,,
8/27/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0sf8v399yQbuqgvww6M72dxPauLkeApcPnCGHFvDKxcxLU9BYuy8YmBxiuqE5eMhgl,Photos,4,4,2,0,2,0,0,,,,,,,,
8/27/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid024s3dfywgJ9EwRu6ZtWCbeJshwPJ47jv3MpsjXMQgpvYjf8zrA9AifxWATfd2u8Myl,Photos,4,4,1,0,1,0,0,,,,,,,,
8/26/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02Rg9Pp52dZnSFWoPvP4MzcwyJrS2BXtisxXm6L1rTsN9Qb4HdCMupWqZm9CZKiXWRl,Photos,4,4,0,0,0,0,2,1,1,,,,,,
8/18/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid017wL8JRt8VtUQfkMpBP4jMrxoYuFWoHU1NGFQmhEoHzM9yga2hvdVQD3kj17wqUhl,Photos,4,4,1,1,0,0,0,,,,,,,,
